Country,Date,Round,Coordinates,Region
Malta,2022-12-25,1,"35.8430061340332,14.48763370513916",Malta
"Sri Lanka",2022-12-25,2,"9.7860336303710938,79.966133117675781","Northern Province"
"United States",2022-12-25,3,"33.510910034179688,-94.289215087890625",Texas
Brazil,2022-12-25,4,"-23.688957214355469,-46.619209289550781","São Paulo"
Ecuador,2022-12-25,5,"-1.6786178350448608,-78.657516479492188",Chimborazo
Romania,2022-12-26,1,"46.113346099853516,27.850473403930664","Județul Galați"
Colombia,2022-12-26,2,"1.6442228555679321,-78.737861633300781",Nariño
Luxembourg,2022-12-26,3,"50.067070007324219,5.9104700088500977",Clervaux
Guatemala,2022-12-26,4,"15.170265197753906,-90.947761535644531","Quiché Department"
Singapore,2022-12-26,5,"1.3352662324905396,103.80386352539062",Singapore
Nigeria,2022-12-27,1,"7.4497776031494141,5.229835033416748",Ekiti
Singapore,2022-12-27,2,"1.306130051612854,103.85157012939453",Singapore
Chile,2022-12-27,3,"-32.855060577392578,-70.4761734008789",Valparaíso
Russia,2022-12-27,4,"48.4736442565918,135.07717895507812","Khabarovskiy kray"
"New Zealand",2022-12-27,5,"-42.760623931884766,171.38929748535156","West Coast Region"
Madagascar,2022-12-28,1,"-18.92280387878418,47.531932830810547",Analamanga
Guatemala,2022-12-28,2,"16.912406921386719,-89.898811340332031",Petén
Canada,2022-12-28,3,"45.445869445800781,-73.83831787109375",Québec
Ireland,2022-12-28,4,"53.379074096679688,-6.1881427764892578","County Dublin"
Greenland,2022-12-28,5,"69.225502014160156,-51.095535278320312","Avannaata Municipality"
"United States",2022-12-29,1,"40.912117004394531,-90.6525650024414",Illinois
Montenegro,2022-12-29,2,"43.48248291015625,19.206508636474609","Pljevlja Municipality"
"Puerto Rico",2022-12-29,3,"18.377874374389648,-65.948623657226562",Carolina
Uruguay,2022-12-29,4,"-31.16301155090332,-56.02044677734375","Departamento de Rivera"
Russia,2022-12-29,5,"59.641311645507812,56.755767822265625","Permskiy kray"
Uruguay,2022-12-30,1,"-34.731441497802734,-56.220527648925781","Departamento de Canelones"
Chile,2022-12-30,2,"-44.567962646484375,-71.448028564453125",Aysén
"United States",2022-12-30,3,"36.230312347412109,-115.06221771240234",Nevada
"South Africa",2022-12-30,4,"-29.819665908813477,30.862722396850586",KwaZulu-Natal
"Christmas Island",2022-12-30,5,"-10.451896667480469,105.68740844726562","Shire of Christmas Island"
Estonia,2022-12-31,1,"59.186958312988281,25.161220550537109","Harju maakond"
Norway,2022-12-31,2,"69.565322875976562,30.074697494506836",Finnmark
Mongolia,2022-12-31,3,"49.540626525878906,114.36760711669922",Dornod
Türkiye,2022-12-31,4,"38.399295806884766,27.009925842285156",İzmir
Bermuda,2022-12-31,5,"32.307498931884766,-64.773086547851562","Devonshire Parish"
Bermuda,2023-01-01,1,"32.307056427001953,-64.804985046386719","Pembroke Parish"
Spain,2023-01-01,2,"40.679183959960938,-4.07424259185791","Comunidad de Madrid"
Colombia,2023-01-01,3,"10.997810363769531,-74.8210220336914",Atlántico
Taiwan,2023-01-01,4,"24.320943832397461,120.64219665527344","Taichung City"
"Isle of Man",2023-01-01,5,"54.168312072753906,-4.5085711479187012",Braddan
Malta,2023-01-02,1,"35.870815277099609,14.522245407104492",Malta
Greece,2023-01-02,2,"39.668350219726562,21.803682327270508",Thessalia
Cambodia,2023-01-02,3,"13.547035217285156,102.99983978271484","Banteay Meanchey Province"
Peru,2023-01-02,4,"-7.3674912452697754,-78.128646850585938",Cajamarca
Uruguay,2023-01-02,5,"-34.391719818115234,-57.470474243164062","Departamento de Colonia"
Bolivia,2023-01-03,1,"-19.030029296875,-65.252769470214844","Departamento de Chuquisaca"
Russia,2023-01-03,2,"57.139205932617188,65.549354553222656","Tyumenskaya oblast'"
Türkiye,2023-01-03,3,"39.180465698242188,36.070091247558594",Sivas
Andorra,2023-01-03,4,"42.549369812011719,1.5408375263214111",Ordino
Senegal,2023-01-03,5,"15.744396209716797,-15.997588157653809","Louga Region"
Thailand,2023-01-04,1,"15.535832405090332,103.37410736083984","Roi Et"
Latvia,2023-01-04,2,"56.3773193359375,28.138639450073242","Ludza Municipality"
Greenland,2023-01-04,3,"64.189750671386719,-51.713294982910156","Sermersooq Kommune"
Bolivia,2023-01-04,4,"-17.786272048950195,-63.194744110107422","Departamento de Santa Cruz"
Malaysia,2023-01-04,5,"2.285224437713623,111.83106231689453",Sarawak
Chile,2023-01-05,1,"-23.636556625366211,-70.387481689453125",Antofagasta
Canada,2023-01-05,2,"61.013751983642578,-138.52496337890625",Yukon
Colombia,2023-01-05,3,"5.0524539947509766,-73.502265930175781",Cundinamarca
"United Kingdom",2023-01-05,4,"55.8956298828125,-3.6292357444763184","West Lothian"
Thailand,2023-01-05,5,"13.798125267028809,99.873916625976562","Chang Wat Ratchaburi"
Hungary,2023-01-06,1,"46.760124206542969,17.312105178833008","Zala County"
Singapore,2023-01-06,2,"1.3527796268463135,103.87851715087891",Singapore
Colombia,2023-01-06,3,"4.4946985244750977,-76.103950500488281","Valle del Cauca"
Uruguay,2023-01-06,4,"-34.843467712402344,-56.158348083496094","Departamento de Montevideo"
Ecuador,2023-01-06,5,"-2.1313979625701904,-80.7665023803711","Santa Elena"
India,2023-01-07,1,"28.726619720458984,77.120269775390625",Delhi
Slovakia,2023-01-07,2,"48.677032470703125,17.360832214355469","Trnavský kraj"
Brazil,2023-01-07,3,"-22.905006408691406,-47.052364349365234","São Paulo"
"New Zealand",2023-01-07,4,"-45.847881317138672,170.51325988769531","Otago Region"
Denmark,2023-01-07,5,"57.558013916015625,10.18773365020752","North Denmark Region"
Indonesia,2023-01-08,1,"-9.7273998260498047,119.37015533447266","East Nusa Tenggara"
"South Africa",2023-01-08,2,"-26.529296875,28.370536804199219",Gauteng
Argentina,2023-01-08,3,"-34.550392150878906,-59.112285614013672","Provincia de Buenos Aires"
Singapore,2023-01-08,4,"1.324091911315918,103.7978515625",Singapore
Austria,2023-01-08,5,"47.265296936035156,11.384671211242676",Tirol
"United States",2023-01-09,1,"42.34991455078125,-71.03948974609375",Massachusetts
China,2023-01-09,2,"36.799053192138672,117.84197235107422","Shan Dong Sheng"
Ghana,2023-01-09,3,"9.4169778823852539,-0.27753797173500061","Northern Region"
"United States",2023-01-09,4,"43.705234527587891,-114.34819793701172",Idaho
Türkiye,2023-01-09,5,"39.998455047607422,32.805931091308594",Ankara
"South Africa",2023-01-10,1,"-26.830654144287109,26.674161911010742","North West"
"North Macedonia",2023-01-10,2,"41.998928070068359,21.385356903076172","Greater Skopje"
Singapore,2023-01-10,3,"1.39112389087677,103.85863494873047",Singapore
Romania,2023-01-10,4,"44.05181884765625,24.117710113525391","Județul Dolj"
Guatemala,2023-01-10,5,"15.099103927612305,-90.317031860351562","Baja Verapaz"
Botswana,2023-01-11,1,"-20.693548202514648,26.372264862060547","Central District"
Belgium,2023-01-11,2,"50.392116546630859,5.9258084297180176","Région wallonne"
Thailand,2023-01-11,3,"14.623432159423828,100.40423583984375","Chang Wat Ang Thong"
Mexico,2023-01-11,4,"16.851625442504883,-99.853012084960938",Guerrero
Switzerland,2023-01-11,5,"46.274436950683594,10.093843460083008",Grisons
Chile,2023-01-12,1,"-31.369979858398438,-71.239677429199219",Coquimbo
Nigeria,2023-01-12,2,"7.3881759643554688,3.9285221099853516",Oyo
Bermuda,2023-01-12,3,"32.382148742675781,-64.674812316894531","St. George's Parish"
Mexico,2023-01-12,4,"25.435581207275391,-100.95845794677734","Coahuila de Zaragoza"
Kyrgyzstan,2023-01-12,5,"42.880462646484375,74.568733215332031","Bishkek City"
Colombia,2023-01-13,1,"4.643796443939209,-74.063583374023438","Bogotá, D.C."
Japan,2023-01-13,2,"43.0719108581543,141.36236572265625",Hokkaido
Denmark,2023-01-13,3,"56.563385009765625,9.037724494934082","Central Denmark Region"
Australia,2023-01-13,4,"-37.8433837890625,144.97822570800781",Victoria
Ghana,2023-01-13,5,"6.77324104309082,-1.4527591466903687","Ashanti Region"
Kenya,2023-01-14,1,"-1.1367820501327515,37.732013702392578","Kitui County"
Bolivia,2023-01-14,2,"-17.760143280029297,-63.1702995300293","Departamento de Santa Cruz"
Bermuda,2023-01-14,3,"32.272224426269531,-64.882026672363281","Sandys Parish"
Ukraine,2023-01-14,4,"49.815086364746094,30.868375778198242","Kyivs'ka oblast"
Argentina,2023-01-14,5,"-49.557327270507812,-71.464385986328125","Santa Cruz"
Spain,2023-01-15,1,"40.573688507080078,-0.79821944236755371",Aragón
Canada,2023-01-15,2,"48.097915649414062,-77.794136047363281",Québec
Madagascar,2023-01-15,3,"-18.922544479370117,47.532432556152344",Analamanga
Sweden,2023-01-15,4,"62.513500213623047,17.0478458404541","Västernorrlands län"
Cambodia,2023-01-15,5,"13.40135669708252,104.73741149902344","Preah Vihear Province"
"Puerto Rico",2023-01-16,1,"18.239767074584961,-66.018020629882812",Caguas
Ghana,2023-01-16,2,"9.4208765029907227,-0.24694597721099854","Northern Region"
France,2023-01-16,3,"48.099395751953125,-2.980992317199707",Bretagne
Argentina,2023-01-16,4,"-43.847465515136719,-68.0625",Chubut
Singapore,2023-01-16,5,"1.3744478225708008,103.72434997558594",Singapore
Mexico,2023-01-17,1,"17.636541366577148,-101.49580383300781",Guerrero
Austria,2023-01-17,2,"48.19256591796875,16.352180480957031",Wien
Bermuda,2023-01-17,3,"32.2855339050293,-64.872627258300781","Sandys Parish"
"United Arab Emirates",2023-01-17,4,"25.230260848999023,55.404144287109375",Dubai
Brazil,2023-01-17,5,"-26.871318817138672,-52.300624847412109","Santa Catarina"
Singapore,2023-01-18,1,"1.4448121786117554,103.80747985839844",Singapore
Colombia,2023-01-18,2,"9.6230020523071289,-74.595977783203125",Magdalena
Netherlands,2023-01-18,3,"51.746612548828125,5.5988788604736328",Noord-Brabant
"United Arab Emirates",2023-01-18,4,"25.1914005279541,55.231075286865234",Dubai
Greenland,2023-01-18,5,"64.182609558105469,-51.739459991455078","Sermersooq Kommune"
"South Africa",2023-01-19,1,"-29.816461563110352,30.865486145019531",KwaZulu-Natal
Ukraine,2023-01-19,2,"50.0041389465332,36.181980133056641","Kharkivs'ka oblast"
Germany,2023-01-19,3,"53.613445281982422,9.9994649887084961",Hamburg
Russia,2023-01-19,4,"59.648563385009766,60.649372100830078","Sverdlovskaya oblast'"
Colombia,2023-01-19,5,"3.23622727394104,-75.244331359863281",Huila
Türkiye,2023-01-20,1,"37.347126007080078,29.808906555175781",Burdur
"Sri Lanka",2023-01-20,2,"7.251068115234375,79.891448974609375","Western Province"
Montenegro,2023-01-20,3,"42.439430236816406,19.297243118286133","Podgorica Municipality"
Uganda,2023-01-20,4,"0.32656645774841309,32.471122741699219","Central Region"
"Puerto Rico",2023-01-20,5,"18.423484802246094,-67.154258728027344",Aguadilla
Mexico,2023-01-21,1,"20.466945648193359,-88.389236450195312",Yucatán
Ukraine,2023-01-21,2,"51.002140045166016,29.730060577392578","Kyivs'ka oblast"
Japan,2023-01-21,3,"26.132682800292969,127.65354919433594",Okinawa
"South Korea",2023-01-21,4,"37.549686431884766,126.92221832275391",Seoul
"Sri Lanka",2023-01-21,5,"7.2672772407531738,80.668792724609375","Central Province"
Poland,2023-01-22,1,"52.6954345703125,19.161897659301758","Województwo kujawsko-pomorskie"
"Dominican Republic",2023-01-22,2,"18.46586799621582,-69.910491943359375","Distrito Nacional"
Colombia,2023-01-22,3,"10.385105133056641,-75.487068176269531",Bolívar
Botswana,2023-01-22,4,"-23.992006301879883,21.771562576293945","Kgalagadi District"
Kenya,2023-01-22,5,"-2.2111546993255615,37.717697143554688","Makueni County"
"South Africa",2023-01-23,1,"-28.280405044555664,30.713188171386719",KwaZulu-Natal
"Dominican Republic",2023-01-23,2,"19.391565322875977,-70.680450439453125",Santiago
"Dominican Republic",2023-01-23,3,"19.512847900390625,-70.7176513671875",Santiago
Türkiye,2023-01-23,4,"39.257656097412109,36.156723022460938",Sivas
Thailand,2023-01-23,5,"18.27918815612793,100.21598815917969",Phrae
Greece,2023-01-24,1,"36.855327606201172,22.860494613647461","Peloponnese Region"
"United States",2023-01-24,2,"40.699333190917969,-99.081649780273438",Nebraska
Bolivia,2023-01-24,3,"-17.938579559326172,-65.335357666015625","Departamento de Cochabamba"
Jordan,2023-01-24,4,"32.333297729492188,35.898788452148438","Jerash Governorate"
China,2023-01-24,5,"39.913734436035156,116.27662658691406","Bei Jing Shi"
Canada,2023-01-25,1,"53.320358276367188,-105.45649719238281",Saskatchewan
Taiwan,2023-01-25,2,"23.553976058959961,120.33039855957031","Chiayi County"
Germany,2023-01-25,3,"53.568462371826172,10.018242835998535",Hamburg
Bermuda,2023-01-25,4,"32.391605377197266,-64.6747817993164","St. George's Parish"
Bangladesh,2023-01-25,5,"22.849132537841797,89.540611267089844","Khulna Division"
Thailand,2023-01-26,1,"17.59942626953125,103.23613739013672","Udon Thani"
Russia,2023-01-26,2,"57.366680145263672,102.14451599121094","Irkutsk Oblast"
Mexico,2023-01-26,3,"20.9473819732666,-101.42235565185547",Guanajuato
India,2023-01-26,4,"28.784536361694336,77.1574478149414",Delhi
Poland,2023-01-26,5,"53.997013092041016,14.817313194274902","Województwo zachodniopomorskie"
Canada,2023-01-27,1,"45.620574951171875,-61.246513366699219","Nova Scotia"
Peru,2023-01-27,2,"-4.5922126770019531,-81.262901306152344",Piura
Hungary,2023-01-27,3,"48.064346313476562,19.621341705322266","Nógrád County"
Chile,2023-01-27,4,"-18.430330276489258,-70.289169311523438","Arica y Parinacota"
"United Arab Emirates",2023-01-27,5,"25.229204177856445,55.320095062255859",Dubai
Tunisia,2023-01-28,1,"35.643001556396484,10.892334938049316",Monastir
Chile,2023-01-28,2,"-18.480224609375,-70.3211669921875","Arica y Parinacota"
Ukraine,2023-01-28,3,"47.87896728515625,35.058734893798828","Zaporiz'ka oblast"
Poland,2023-01-28,4,"52.207572937011719,23.085010528564453","Województwo lubelskie"
Greenland,2023-01-28,5,"69.2213134765625,-51.116359710693359","Avannaata Municipality"
Taiwan,2023-01-29,1,"23.7347469329834,120.51679992675781","Yunlin County"
Estonia,2023-01-29,2,"58.725490570068359,24.230749130249023","Rapla maakond"
Uganda,2023-01-29,3,"0.43794921040534973,30.413984298706055","Western Region"
Lesotho,2023-01-29,4,"-30.23213005065918,27.433897018432617","Mohale's Hoek"
Brazil,2023-01-29,5,"-11.643892288208008,-39.360691070556641",Bahia
Switzerland,2023-01-30,1,"47.311740875244141,7.8510890007019043",Solothurn
India,2023-01-30,2,"28.681543350219727,77.3336181640625","Uttar Pradesh"
Senegal,2023-01-30,3,"15.414809226989746,-15.708449363708496","Région de Louga"
Bermuda,2023-01-30,4,"32.2730598449707,-64.804985046386719","Warwick Parish"
Colombia,2023-01-30,5,"7.0802006721496582,-73.117996215820312",Santander
Russia,2023-01-31,1,"43.080898284912109,133.74407958984375","Primorskiy kray"
Botswana,2023-01-31,2,"-24.614356994628906,25.908384323120117","Gaborone City"
Canada,2023-01-31,3,"45.432178497314453,-65.98260498046875","New Brunswick"
India,2023-01-31,4,"28.563926696777344,77.2076644897461",Delhi
Mongolia,2023-01-31,5,"48.072761535644531,114.53761291503906",Dornod
Denmark,2023-02-01,1,"55.617874145507812,12.417062759399414","Capital Region of Denmark"
Croatia,2023-02-01,2,"43.736846923828125,16.4034423828125","Splitsko-dalmatinska županija"
Israel,2023-02-01,3,"32.777423858642578,35.43536376953125","North District"
Chile,2023-02-01,4,"-20.241010665893555,-70.14093017578125",Tarapacá
Greece,2023-02-01,5,"35.498600006103516,23.992734909057617",Crete
Taiwan,2023-02-02,1,"24.25932502746582,120.80293273925781","Taichung City"
Colombia,2023-02-02,2,"4.3830571174621582,-71.934219360351562",Meta
Sweden,2023-02-02,3,"61.381324768066406,16.341001510620117","Gävleborgs län"
Ecuador,2023-02-02,4,"-3.8080155849456787,-80.073921203613281","El Oro"
Israel,2023-02-02,5,"32.714500427246094,34.9505615234375","Haifa District"
Peru,2023-02-03,1,"-14.328782081604004,-70.238006591796875",Puno
Rwanda,2023-02-03,2,"-1.9174107313156128,30.133169174194336","Kigali City"
Mongolia,2023-02-03,3,"48.079418182373047,114.51285552978516",Dornod
Brazil,2023-02-03,4,"-14.748111724853516,-40.223594665527344",Bahia
Uruguay,2023-02-03,5,"-32.383274078369141,-54.341903686523438","Departamento de Cerro Largo"
Guatemala,2023-02-04,1,"14.588691711425781,-92.144721984863281","San Marcos Department"
Japan,2023-02-04,2,"24.862157821655273,125.29708862304688",Okinawa
Denmark,2023-02-04,3,"55.539134979248047,8.7560043334960938","Region of Southern Denmark"
Cambodia,2023-02-04,4,"13.528956413269043,105.98110961914062","Steung Treng Province"
"South Korea",2023-02-04,5,"37.775096893310547,126.43704986572266",Incheon
Kenya,2023-02-05,1,"-3.6905806064605713,39.811882019042969","Kilifi County"
Czechia,2023-02-05,2,"49.857395172119141,17.105724334716797","Olomoucký kraj"
Canada,2023-02-05,3,"45.504032135009766,-73.571571350097656",Québec
Mexico,2023-02-05,4,"18.934455871582031,-99.207962036132812",Morelos
Greece,2023-02-05,5,"37.853469848632812,23.792707443237305",Attica
Argentina,2023-02-06,1,"-38.832778930664062,-68.1434097290039",Neuquén
"Puerto Rico",2023-02-06,2,"18.385612487792969,-66.177528381347656",Bayamón
Thailand,2023-02-06,3,"19.450790405273438,100.17057037353516","Chang Wat Phayao"
Indonesia,2023-02-06,4,"-6.1289896965026855,106.83478546142578","Daerah Khusus Ibukota Jakarta"
Greece,2023-02-06,5,"35.367771148681641,24.706638336181641",Crete
Jordan,2023-02-07,1,"29.546733856201172,34.997943878173828","Aqaba Governorate"
Colombia,2023-02-07,2,"5.595761775970459,-72.617111206054688",Boyacá
Greece,2023-02-07,3,"37.990585327148438,23.744699478149414",Attica
Slovenia,2023-02-07,4,"45.9612922668457,15.498231887817383",Krško
Taiwan,2023-02-07,5,"23.438196182250977,121.34130859375","Hualien County"
"United States",2023-02-08,1,"38.952861785888672,-95.252799987792969",Kansas
Eswatini,2023-02-08,2,"-26.313869476318359,31.138402938842773","Hhohho Region"
Monaco,2023-02-08,3,"43.737094879150391,7.4294342994689941",Monaco
Uganda,2023-02-08,4,"0.41752287745475769,32.562759399414062","Central Region"
Madagascar,2023-02-08,5,"-22.093652725219727,46.770637512207031","Matsiatra Ambony"
Czechia,2023-02-09,1,"50.4769401550293,15.643630027770996","Královéhradecký kraj"
Ecuador,2023-02-09,2,"0.9790349006652832,-79.650230407714844",Esmeraldas
Ukraine,2023-02-09,3,"49.9803581237793,36.20928955078125","Kharkivs'ka oblast"
Brazil,2023-02-09,4,"-2.9550540447235107,-39.795738220214844",Ceará
Nigeria,2023-02-09,5,"6.5911116600036621,3.2641568183898926",Lagos
"New Zealand",2023-02-10,1,"-46.226406097412109,168.30372619628906","Southland Region"
Ukraine,2023-02-10,2,"47.958145141601562,37.799842834472656","Donets'ka oblast"
